id_transaccion,id_usuario,fecha,intentos_fallidos,categoria,monto,pais_emision,pais_pago,uso_vpn_proxy,paso_3d_secure,dispositivo_nuevo,mismo_envio_facturacion,es_fraude
sdv-id-BEhnrB,418b6aa2-7016-46ad-9c25-3a40ba7696f5,1970-01-01,0,Travel,1883.17,ESP,VNM,1,1,0,0,1
sdv-id-GZbMuQ,806a29ad-f6b2-4778-be50-8d4d293a60be,1970-01-01,2,Gaming,262.58,ESP,UKR,0,1,0,1,1
sdv-id-IfmhgG,836392b7-d9a3-442a-83c2-8870adde98b6,1970-01-01,0,Food,1931.55,ESP,JPN,1,1,0,1,0
sdv-id-KkEpkV,47d34d63-8d5c-45f9-a379-742aabcd21c3,1970-01-01,0,Gaming,1008.24,ESP,ESP,0,1,1,0,1
sdv-id-fFRejx,1eb74b56-53ff-43a2-8a19-35014169b9fc,1970-01-01,0,Retail,1069.1,ESP,FRA,1,0,0,1,0
sdv-id-rMQXTm,a43fdaf0-8a80-46fe-8fa5-0e3241374168,1970-01-01,0,Gaming,1349.82,ESP,RUS,1,0,0,0,0
sdv-id-akTueC,d1ed43ba-65c6-4e05-aebf-af4c813592e7,1970-01-01,0,Gaming,2134.3,ESP,GBR,1,0,1,0,1
sdv-id-QRsqZd,fde91c42-002c-4c22-b4de-5f7070f81dba,1970-01-01,0,Tech,1541.2,ESP,ARE,1,0,0,0,0
sdv-id-HWLxwz,20f41f0b-2401-4b6a-84f1-4a20bd7cff65,1970-01-01,0,Gaming,1382.19,ESP,ARE,0,1,0,1,0
sdv-id-hRhEjU,135769cb-bc03-4aa7-912e-1621a266530e,1970-01-01,0,Tech,1909.72,ESP,ARE,0,0,1,1,0
sdv-id-NqEabK,309bcc9a-0a52-41cf-b5a9-c71f35c0690e,1970-01-01,0,Retail,2224.25,ESP,USA,1,1,1,1,0
sdv-id-oIDYyZ,0a524e33-3a08-47d8-9666-7ba856bebe18,1970-01-01,0,Retail,2359.96,ESP,PRT,1,1,0,1,0
sdv-id-bNYEAV,6f25222d-dd6f-4420-9237-7609f47bc25b,1970-01-01,0,Retail,582.21,ESP,ESP,1,0,0,1,0
sdv-id-bhgZbt,27f31b78-51f9-4d77-ad85-0a6d75422851,1970-01-01,0,Retail,418.02,ESP,BRA,1,1,1,0,1
sdv-id-XpYDoD,275b7c2c-12be-46cb-b637-8db328542b64,1970-01-01,5,Food,795.01,ESP,IND,1,1,1,0,1
sdv-id-Wfxakv,8da0365b-f898-47b9-805c-acec877409a9,1970-01-01,4,Travel,2218.74,ESP,ESP,0,1,1,0,0
sdv-id-IyyYLm,40f96050-2efc-4709-b576-6872d5cb20a3,1970-01-01,0,Gaming,2410.76,ESP,BGD,1,0,0,0,1
sdv-id-kvAyXW,f08d312e-7a73-4f35-ac55-40f0cc9cf41c,1970-01-01,0,Retail,2462.58,ESP,IND,1,1,0,1,0
sdv-id-vhKMBr,5f5e9c52-ef15-427d-aa21-ee30fcd77150,1970-01-01,0,Tech,23.25,ESP,NGA,0,0,0,0,1
sdv-id-wykMtg,160a3a13-30df-450c-89e0-8b89ca3e3238,1970-01-01,0,Travel,947.32,ESP,ITA,1,0,0,1,1
sdv-id-viMmlW,005476f5-082d-4c63-8c12-b1b49872643b,1970-01-01,0,Food,1350.5,ESP,GBR,0,1,0,0,0
sdv-id-rGVLWS,9fa4a627-d306-48be-8548-867bad5cba24,1970-01-01,0,Retail,468.91,ESP,RUS,1,1,0,1,0
sdv-id-LMBLwy,ee58d695-e15a-48f3-87c6-2bd3caf27c2a,1970-01-01,1,Tech,1749.99,ESP,PRT,0,0,0,1,0
sdv-id-NJBCcb,ae22fa57-aae5-4054-ad3e-9fa290ba2411,1970-01-01,0,Gaming,2257.49,ESP,FRA,0,1,0,0,0
sdv-id-DFjCUI,c87d01c2-92e8-48b1-9e00-3828d5935e79,1970-01-01,0,Retail,2321.16,ESP,FRA,0,1,0,0,1
sdv-id-PmXvTF,ba2c43ec-43f8-4fcf-8997-0b27dbdcfb3d,1970-01-01,4,Gaming,1327.56,ESP,UKR,0,0,0,0,0
sdv-id-SzYlrj,b02e1da7-dff6-4376-a24e-ae6510435959,1970-01-01,0,Tech,1837.52,ESP,GBR,1,1,0,1,1
sdv-id-joOAqI,f3e62704-4408-4b43-9eea-d5def5b5777f,1970-01-01,0,Retail,2472.08,ESP,PRT,1,1,1,0,1
sdv-id-nfCbZj,b12067d8-1c6b-4e50-980c-d898aaf76d3b,1970-01-01,0,Gaming,2443.72,ESP,IND,0,0,1,0,1
sdv-id-OweYro,4bfaa29e-032d-496d-a537-68573749af64,1970-01-01,0,Retail,1807.28,ESP,RUS,1,1,0,0,1
sdv-id-lOQONL,ae4ed89f-d659-469f-8eca-d2663f29d615,1970-01-01,0,Travel,824.4,ESP,NGA,1,1,0,0,0
sdv-id-dpnynZ,34dbda6b-dd9e-4b6d-a751-82a4f48138b5,1970-01-01,0,Gaming,1364.19,ESP,VNM,0,1,0,1,0
sdv-id-ynmRaA,23648766-a43a-4bdd-8ce2-85dbdb30e078,1970-01-01,1,Tech,1561.25,ESP,RUS,1,0,1,1,0
sdv-id-cjNonV,63be441d-bd5a-4c9e-a77e-b0aaa247541d,1970-01-01,5,Food,1909.67,ESP,FRA,0,1,0,0,1
sdv-id-IhThRG,5cacd5a6-85fa-4950-a36b-a8a3e50ef872,1970-01-01,0,Travel,667.79,ESP,CHN,0,1,0,1,0
sdv-id-CsHdzY,cc16ab4e-97b0-48b0-8626-67fccedcf5bf,1970-01-01,2,Food,1012.31,ESP,BRA,1,0,1,0,0
sdv-id-yRTKRD,4019a1f6-0cd1-4081-8d85-e013b20004fa,1970-01-01,0,Food,858.39,ESP,DEU,1,1,0,1,1
sdv-id-ryRuWt,2481216b-988f-426b-a62b-7ae4c2aabe0c,1970-01-01,0,Tech,459.84,ESP,CHN,0,0,0,1,0
sdv-id-jrhNwk,6a4fd3ab-13c1-446e-a843-0b6dc98e502e,1970-01-01,0,Gaming,67.39,ESP,FRA,0,1,1,0,0
sdv-id-nEnkRD,a923895d-0842-4e20-a726-f5b4417511f4,1970-01-01,1,Tech,1522.87,ESP,BGD,1,1,1,0,1
sdv-id-YMiosh,f387e1bd-2d59-42c6-934a-5a2fa7cf705c,1970-01-01,0,Food,2313.7,ESP,DEU,1,0,0,0,1
sdv-id-WeLFJz,dcb9d394-e8ac-44c4-b6b9-824010416cbc,1970-01-01,0,Travel,1336.41,ESP,FRA,1,0,0,0,1
sdv-id-vCKfIi,535830aa-928b-4e4d-83c5-0ab302a48d6e,1970-01-01,1,Travel,2342.54,ESP,BRA,1,1,1,0,1
sdv-id-CilQqc,94ab24e9-6794-4589-b7ef-ef05d8fd2048,1970-01-01,0,Food,989.95,ESP,IND,0,0,1,0,1
sdv-id-XtvEof,b526b22d-3f6c-41f7-8a05-37f02c2cd22b,1970-01-01,3,Travel,1082.74,ESP,ITA,1,1,1,1,1
sdv-id-izRVGD,192703a7-df2e-47e7-84fc-bb8424aefbea,1970-01-01,3,Tech,1983.1,ESP,DEU,0,1,1,1,0
sdv-id-gSSxLd,504867ba-bf7b-439b-8f9a-ea4b8acd4e10,1970-01-01,0,Food,221.92,ESP,ESP,1,1,0,0,1
sdv-id-XrRIdD,aab9278d-92df-4f99-be7b-178dfb0e7c28,1970-01-01,0,Travel,1268.15,ESP,UKR,0,1,0,1,0
sdv-id-cGcKGk,1bbbefac-7988-4901-a182-74339522eda1,1970-01-01,4,Tech,1840.23,ESP,ESP,1,0,1,1,1
sdv-id-hGeSms,c44ba50d-cb6c-4a6e-bb95-8291f3dd69d1,1970-01-01,0,Retail,1706.96,ESP,BRA,1,0,0,0,1
sdv-id-jwNQVg,82330e6e-b89c-46e9-9d39-b50542696d14,1970-01-01,3,Gaming,673.69,ESP,IND,1,1,1,0,1
sdv-id-xiUrCG,84681060-743e-4fef-86a6-1b3dc86e0b55,1970-01-01,0,Retail,1338.7,ESP,IND,0,0,0,1,1
sdv-id-JZclqy,4a02d7c1-9859-4f42-974a-2447ab73860c,1970-01-01,4,Gaming,1218.52,ESP,RUS,1,0,1,1,1
sdv-id-lIAsFq,9c88f367-c46e-40a4-9086-b124c7422b51,1970-01-01,5,Food,1078.24,ESP,ESP,1,0,0,0,1
sdv-id-EHemys,4cc7cda2-1f2f-487d-ad11-3faf0e3f4912,1970-01-01,0,Food,2257.06,ESP,UKR,1,0,1,0,1
sdv-id-rQOKLi,f3f233b7-42d4-431c-91c6-80ca57a6e460,1970-01-01,0,Gaming,2109.18,ESP,JPN,1,0,0,1,0
sdv-id-sxLoEK,b0c5b8f2-5ab4-45ac-969c-16ba30e5f5eb,1970-01-01,0,Travel,403.7,ESP,DEU,0,1,1,0,1
sdv-id-WwVInw,e5c482ff-5e5a-40c1-92a4-73f94c9e903a,1970-01-01,3,Retail,2478.53,ESP,JPN,1,1,0,0,1
sdv-id-YgHYoW,aebfaef7-c940-438d-b673-99cd7aa38b4e,1970-01-01,2,Travel,1027.04,ESP,ARE,1,0,0,1,0
sdv-id-FkDsto,7e7b7dac-bea6-4b61-af92-54fd12e184ce,1970-01-01,4,Gaming,144.34,ESP,USA,0,0,1,0,1
sdv-id-gmCeki,607c2248-cf1a-419d-9e59-893023de6993,1970-01-01,3,Food,1772.54,ESP,FRA,1,1,1,0,0
sdv-id-ZBRCoW,c6ee1f6a-02d6-4d31-9c28-bbd8d7d6eda6,1970-01-01,1,Travel,1098.24,ESP,ARE,1,0,1,0,1
sdv-id-Lwawzj,14dd5061-5557-46f8-a67e-ddcedf8f4197,1970-01-01,0,Food,594.9,ESP,JPN,1,1,1,0,0
sdv-id-crbmiM,5892e71a-ab87-4ea4-854f-87ad7750bfbb,1970-01-01,3,Tech,387.46,ESP,UKR,0,1,0,1,0
sdv-id-ladgeo,0d41de26-91c9-4644-b2e6-3a676e971b5a,1970-01-01,0,Retail,1051.81,ESP,PRT,1,0,1,0,1
sdv-id-seYuTH,14296c07-f26b-4776-913e-4de2e0c53cb8,1970-01-01,0,Food,2388.72,ESP,FRA,0,1,0,0,1
sdv-id-wzXjvm,a525c6d1-71d8-47b8-b16c-e5583e364321,1970-01-01,2,Retail,1903.14,ESP,ITA,0,1,1,1,0
sdv-id-xtkoXP,107aad8b-821a-4ae4-a684-8d4a6b253e7b,1970-01-01,0,Retail,908.78,ESP,CHN,1,1,0,0,1
sdv-id-kxbwej,6694940d-ddc5-4146-80ba-e133babf9447,1970-01-01,0,Travel,706.77,ESP,RUS,0,1,0,1,0
sdv-id-CjbZIc,9cbf4d7d-e70c-4280-afa9-7de7619987c0,1970-01-01,0,Gaming,765.19,ESP,GBR,1,0,0,0,1
sdv-id-SdXylw,88cd565c-17c2-4048-8d2a-ac5b59d5d1bd,1970-01-01,4,Travel,447.4,ESP,DEU,1,1,0,1,0
sdv-id-iXCaJy,924d4a86-efed-4e52-b9f7-3374e92af09b,1970-01-01,3,Retail,1872.41,ESP,DEU,0,0,0,0,1
sdv-id-ditDbS,24ea2f78-24fa-450e-ac70-d93aa260f227,1970-01-01,0,Gaming,2021.02,ESP,ESP,0,0,0,0,1
sdv-id-JGnOWt,252b473a-d2cd-4683-8c56-4c15e507b981,1970-01-01,0,Food,1806.04,ESP,FRA,0,0,0,1,0
sdv-id-NgkCXE,c5ba136f-594e-461a-9d15-c12994256e90,1970-01-01,0,Travel,2021.52,ESP,ARE,1,1,0,0,0
sdv-id-byDkzo,269bded7-1c47-4b1c-b28d-acb1270116e4,1970-01-01,0,Gaming,1544.07,ESP,FRA,1,1,0,0,1
sdv-id-yVcBhC,b59c9c87-f839-44c9-9eff-689a545a8a02,1970-01-01,4,Gaming,14.82,ESP,IND,0,1,1,1,1
sdv-id-SlbJWW,8f940a73-9c2e-4760-8dde-dd24c57dfa49,1970-01-01,0,Travel,1934.17,ESP,NGA,1,1,0,1,0
sdv-id-IQNYxS,d83940c9-7e86-47f8-93cf-44fe17c03e28,1970-01-01,0,Food,929.62,ESP,PRT,0,1,1,1,1
sdv-id-cuClUk,60b97459-09e2-456e-b0a3-be304d06b31c,1970-01-01,5,Food,1451.68,ESP,USA,1,0,0,1,0
sdv-id-dRfFcT,27d26d0c-dc7a-45e6-85d9-c4d3866e8085,1970-01-01,1,Travel,1406.25,ESP,RUS,1,0,0,0,1
sdv-id-TecekM,c0d9863f-66bc-46f0-bd9e-d3fc5266cd86,1970-01-01,2,Travel,1394.06,ESP,ITA,0,1,0,0,1
sdv-id-LQQPeL,6a8f7654-1552-47c7-8b96-13466498da39,1970-01-01,0,Food,2190.53,ESP,VNM,1,1,0,1,0
sdv-id-bUFibK,87b31442-3a6f-466b-ba8c-178b4e90b61e,1970-01-01,0,Gaming,122.07,ESP,USA,0,0,0,0,0
sdv-id-jPUmUn,15183e2c-3cca-4de2-b5c1-accc137d97fc,1970-01-01,0,Travel,946.25,ESP,PRT,1,0,0,1,0
sdv-id-uTyDaG,50b1d09f-39b9-4307-8643-75ed20f091a1,1970-01-01,3,Retail,959.13,ESP,USA,0,1,1,1,0
sdv-id-uLfHhm,94e74f26-29b0-4b37-8271-0779d864465a,1970-01-01,0,Food,1126.17,ESP,GBR,0,1,0,1,0
sdv-id-KdjgFT,a68f75ac-7491-4018-adc8-4e80a90bdc3a,1970-01-01,0,Tech,305.65,ESP,JPN,0,1,1,0,1
sdv-id-qewJbQ,61935990-abdd-4a8f-a4b0-5c89f10bce9c,1970-01-01,0,Travel,73.39,ESP,ESP,0,0,0,0,0
sdv-id-SPKfoG,f12c2046-1cdb-46cb-a9c3-d3719f688611,1970-01-01,0,Tech,1001.15,ESP,DEU,0,0,0,1,1
sdv-id-trcqqs,1ab554d2-e904-4d0e-9df5-47e3a918aef5,1970-01-01,1,Travel,1734.1,ESP,NGA,0,1,1,0,0
sdv-id-okwzlA,d8c024a9-a99e-4f9b-b68e-af5851ddaa9d,1970-01-01,0,Travel,2106.76,ESP,RUS,1,1,0,0,1
sdv-id-MrVgSu,3e447305-eb55-420d-81d2-31cb66bd5d42,1970-01-01,1,Food,878.67,ESP,IND,0,0,0,1,1
sdv-id-SAQRxK,7c20ecf5-8c4d-43b5-ad81-7b6b6ce1edee,1970-01-01,0,Tech,1617.58,ESP,BGD,0,1,0,1,0
sdv-id-AGvyxu,31ab2c49-ec81-4e3e-a66a-786114941dbd,1970-01-01,0,Retail,1327.53,ESP,FRA,0,1,0,1,0
sdv-id-BEGLIK,1fac6d85-c433-44f0-9683-541bd1801014,1970-01-01,0,Travel,344.5,ESP,ITA,0,1,0,1,1
sdv-id-KIKsTA,8c490e4c-c780-4892-aa93-f2c4094183bf,1970-01-01,0,Travel,530.06,ESP,NGA,1,0,0,0,1
sdv-id-OrATqy,b0ee1d54-78b6-4685-8f16-1581612981b0,1970-01-01,0,Food,2159.11,ESP,VNM,0,0,1,0,1
sdv-id-yTkFme,054da197-5273-460c-97a0-3c178620a10a,1970-01-01,0,Tech,1688.45,ESP,ARE,0,1,1,0,1
sdv-id-BItseG,371132b7-81ea-41da-8496-a8834a7a677b,1970-01-01,3,Food,2352.68,ESP,USA,1,1,0,0,0
sdv-id-QlKFGb,3338efe5-21d4-4860-aae2-d4fab8888244,1970-01-01,0,Gaming,2007.81,ESP,CHN,1,0,1,0,0
sdv-id-zvyIZo,4019a1f6-0cd1-4081-8d85-e013b20004fa,1970-01-01,2,Tech,1379.77,ESP,UKR,1,0,1,0,0
sdv-id-DQWQhw,5f642a53-17cb-485d-bbaa-574fe0e3c5ce,1970-01-01,0,Tech,607.75,ESP,FRA,0,1,1,0,1
sdv-id-MbndNm,bbbbfd67-30a4-44b0-be3c-7c84176350f5,1970-01-01,0,Food,762.9,ESP,BGD,1,1,0,1,0
sdv-id-AGJHMo,4404fe9a-32fe-4dea-aba5-71369144a442,1970-01-01,1,Travel,1298.0,ESP,JPN,1,1,1,0,0
sdv-id-cbVPLN,5176a9d1-9a36-44d6-ae9c-e8ff084a3c4b,1970-01-01,4,Retail,82.61,ESP,UKR,1,1,1,0,1
sdv-id-iLEauX,b6397107-c8a0-4691-ad8c-24b2d58f5a8a,1970-01-01,0,Travel,982.01,ESP,CHN,0,1,0,1,0
sdv-id-GreGyK,af36b8cc-1308-4974-ac95-b3ac0beb7c34,1970-01-01,4,Gaming,627.04,ESP,GBR,0,0,1,1,0
sdv-id-lWjZqR,cbcb3293-9651-4240-8610-3d842672a20c,1970-01-01,5,Travel,1341.56,ESP,JPN,1,1,0,1,0
sdv-id-VTwhXJ,31d83f78-6843-4031-bf36-fe7fc1ab5f4c,1970-01-01,0,Retail,276.17,ESP,BRA,0,0,1,1,0
