id_transaccion,id_usuario,fecha,hora,dias_antiguedad_cuenta,email_verificado,pais_emision,pais_pago,es_online,monto,uso_vpn_proxy,es_fraude
27210,4251,2025-01-01 06:55:00,6,860,0,España,Ucrania,0,41.08,0,0
28747,9994,2025-01-01 07:00:00,7,940,1,España,Portugal,1,47.63,0,0
29830,7742,2025-01-01 07:04:00,7,41,1,España,Alemania,1,96.61,0,0
13898,953,2025-01-01 07:12:00,7,315,1,España,Bangladesh,1,47.45,0,0
44506,6938,2025-01-01 07:14:00,7,334,1,España,Alemania,1,224.61,0,0
38932,7407,2025-01-01 07:31:00,7,510,1,España,Francia,1,30.38,0,0
48546,7040,2025-01-01 08:23:00,8,1168,1,España,México,1,40.24,0,0
8651,3898,2025-01-01 08:35:00,8,1437,0,España,Francia,1,53.47,0,0
27954,6906,2025-01-01 08:46:00,8,135,1,España,Brasil,0,191.3,0,0
29738,23,2025-01-01 08:50:00,8,509,0,España,Japón,0,11.3,0,0
42346,209,2025-01-01 08:57:00,8,468,0,España,Brasil,1,131.49,0,0
39249,9671,2025-01-01 09:12:00,9,1324,1,España,Bangladesh,1,161.14,1,1
30547,3785,2025-01-01 09:17:00,9,727,1,España,Japón,0,17.96,0,0
13872,7776,2025-01-01 09:19:00,9,351,1,España,Italia,1,29.18,0,0
43441,1705,2025-01-01 09:30:00,9,707,1,España,Vietnam,1,17.8,0,0
39459,2354,2025-01-01 09:36:00,9,288,1,España,Alemania,1,64.88,1,0
35416,1549,2025-01-01 09:59:00,9,1429,1,España,India,1,165.87,0,0
43836,631,2025-01-01 10:07:00,10,1138,1,España,Italia,1,104.32,0,0
27833,2952,2025-01-01 10:10:00,10,1410,1,España,India,0,37.49,0,0
24446,7579,2025-01-01 10:15:00,10,285,1,España,Ucrania,1,22.96,1,0
41911,583,2025-01-01 10:17:00,10,708,1,España,Ucrania,1,4.84,0,0
30222,1476,2025-01-01 10:37:00,10,10,1,España,Ucrania,1,20.8,0,0
30085,8868,2025-01-01 10:38:00,10,783,1,España,Italia,1,14.1,0,0
43996,1919,2025-01-01 10:45:00,10,768,1,España,Ucrania,1,57.05,0,0
46029,9911,2025-01-01 10:50:00,10,749,1,España,Italia,0,30.77,0,0
9812,6439,2025-01-01 10:54:00,10,625,1,España,Rusia,1,25.66,0,0
41734,7152,2025-01-01 11:18:00,11,416,1,España,Nigeria,1,15.62,0,0
43481,7982,2025-01-01 11:54:00,11,271,1,España,Francia,1,11.38,0,0
6247,44,2025-01-01 11:57:00,11,750,1,España,México,1,177.84,0,0
27739,5318,2025-01-01 11:59:00,11,507,1,España,Bangladesh,1,17.81,1,0
11487,5194,2025-01-01 12:07:00,12,880,0,España,México,1,8.64,0,0
39187,124,2025-01-01 12:41:00,12,244,1,España,Bangladesh,1,59.69,0,0
3946,4088,2025-01-01 13:01:00,13,1360,1,España,Brasil,0,59.03,0,0
44310,2940,2025-01-01 13:12:00,13,21,1,España,Ucrania,0,11.01,0,0
25171,4011,2025-01-01 13:12:00,13,649,1,España,Rusia,1,18.52,0,0
27900,7718,2025-01-01 13:19:00,13,871,1,España,Alemania,1,5.11,1,0
15000,1607,2025-01-01 13:19:00,13,1308,1,España,Brasil,1,28.48,0,0
13011,2336,2025-01-01 13:21:00,13,614,1,España,Portugal,0,62.04,0,0
29485,8604,2025-01-01 13:34:00,13,1489,1,España,México,1,28.52,1,0
49557,4512,2025-01-01 13:39:00,13,187,1,España,Francia,1,10.47,1,0
49595,1453,2025-01-01 13:45:00,13,794,0,España,Vietnam,1,18.73,0,0
11895,162,2025-01-01 13:54:00,13,1044,1,España,Japón,0,64.18,0,0
45972,1607,2025-01-01 13:57:00,13,1308,1,España,Ucrania,1,70.43,0,0
14112,2305,2025-01-01 14:00:00,14,986,1,España,Alemania,0,70.57,0,0
1315,7952,2025-01-01 14:06:00,14,835,1,España,Italia,0,40.66,0,0
39254,5114,2025-01-01 14:20:00,14,532,1,España,Nigeria,1,55.65,0,0
43879,2114,2025-01-01 14:20:00,14,1433,1,España,España,1,38.39,0,0
9585,6461,2025-01-01 14:42:00,14,656,1,España,México,1,22.67,0,0
8578,8027,2025-01-01 15:01:00,15,13,1,España,Bangladesh,1,26.63,0,0
21352,5739,2025-01-01 15:03:00,15,1431,1,España,Francia,1,74.36,0,0
17231,710,2025-01-01 15:08:00,15,229,1,España,Bangladesh,1,17.63,0,0
14321,3391,2025-01-01 15:16:00,15,131,0,España,México,0,12.13,0,0
6596,8879,2025-01-01 15:17:00,15,158,1,España,Ucrania,1,63.28,0,0
17838,3605,2025-01-01 15:44:00,15,701,1,España,Brasil,0,26.6,0,0
33599,1792,2025-01-01 16:09:00,16,535,1,España,Ucrania,1,33.21,0,0
27594,6630,2025-01-01 16:13:00,16,303,1,España,España,1,9.82,1,0
24298,3417,2025-01-01 16:22:00,16,1336,1,España,Nigeria,1,25.73,0,0
21569,9372,2025-01-01 16:27:00,16,716,1,España,Francia,0,26.38,0,0
18886,5728,2025-01-01 16:37:00,16,565,0,España,Francia,1,123.13,0,0
22909,3519,2025-01-01 16:50:00,16,1210,1,España,México,0,32.74,0,0
993,8996,2025-01-01 16:55:00,16,453,1,España,Vietnam,1,19.73,0,0
38903,6818,2025-01-01 17:22:00,17,223,1,España,Reino Unido,0,8.55,0,0
10934,3192,2025-01-01 17:24:00,17,173,1,España,Portugal,1,25.1,0,0
29571,74,2025-01-01 17:26:00,17,765,1,España,Brasil,1,20.5,0,0
17249,7081,2025-01-01 17:29:00,17,325,0,España,Nigeria,1,116.35,1,1
7057,8657,2025-01-01 17:31:00,17,1067,1,España,Brasil,1,100.75,0,0
1231,1440,2025-01-01 17:42:00,17,1022,1,España,Brasil,0,18.46,0,0
42830,4389,2025-01-01 17:43:00,17,1448,1,España,Reino Unido,1,15.48,0,0
45449,4573,2025-01-01 17:46:00,17,723,1,España,México,1,43.35,0,0
43101,7944,2025-01-01 17:47:00,17,1168,1,España,Reino Unido,1,210.45,0,0
37112,4817,2025-01-01 17:56:00,17,559,0,España,Nigeria,1,8.95,0,0
20388,3233,2025-01-01 18:02:00,18,379,1,España,India,1,10.5,1,0
33459,8773,2025-01-01 18:03:00,18,730,1,España,Vietnam,1,5.87,0,0
28043,3466,2025-01-01 18:05:00,18,1403,0,España,Ucrania,1,69.37,0,0
14755,8108,2025-01-01 18:15:00,18,467,1,España,Nigeria,1,16.54,0,0
25414,327,2025-01-01 18:32:00,18,1065,1,España,Brasil,1,54.5,0,0
15034,4777,2025-01-01 18:35:00,18,489,1,España,Vietnam,1,12.9,0,0
32867,8514,2025-01-01 18:39:00,18,743,1,España,India,1,45.71,0,0
23416,2347,2025-01-01 18:50:00,18,292,1,España,Bangladesh,1,44.11,0,0
10917,5907,2025-01-01 18:52:00,18,1194,0,España,Ucrania,0,27.23,0,0
47572,8952,2025-01-01 19:07:00,19,1133,1,España,Nigeria,1,67.47,0,0
39186,1139,2025-01-01 19:37:00,19,1154,1,España,Bangladesh,1,160.72,1,0
37399,4673,2025-01-01 20:07:00,20,1390,1,España,España,1,11.07,0,0
29808,1626,2025-01-01 20:08:00,20,1380,1,España,México,1,59.58,0,0
24324,820,2025-01-01 20:23:00,20,112,1,España,Vietnam,1,121.74,0,0
44749,1916,2025-01-01 20:29:00,20,247,1,España,Brasil,1,11.9,0,0
1075,6044,2025-01-01 20:52:00,20,1034,1,España,Vietnam,0,131.57,0,0
42056,4136,2025-01-01 21:20:00,21,199,0,España,Alemania,0,61.75,0,0
23846,86,2025-01-01 21:39:00,21,778,1,España,Bangladesh,1,72.84,0,0
20725,2378,2025-01-01 21:41:00,21,158,1,España,Reino Unido,1,68.62,0,0
29843,8549,2025-01-01 21:44:00,21,126,1,España,Francia,1,36.63,0,0
25118,8552,2025-01-01 21:50:00,21,1408,1,España,Francia,1,97.17,0,0
39607,3717,2025-01-01 21:56:00,21,1069,1,España,Portugal,0,5.83,0,0
34600,7164,2025-01-01 21:56:00,21,881,1,España,Vietnam,1,68.98,0,0
26126,5241,2025-01-01 21:56:00,21,632,1,España,España,0,30.4,0,0
27229,8175,2025-01-01 22:00:00,22,956,1,España,India,1,281.84,0,0
21763,4169,2025-01-01 22:00:00,22,413,1,España,India,1,16.15,1,1
33583,4703,2025-01-01 22:35:00,22,1096,0,España,India,0,9.23,0,0
44755,8982,2025-01-01 22:43:00,22,1478,0,España,México,1,36.2,0,0
33736,7048,2025-01-01 22:43:00,22,540,1,España,Rusia,1,136.35,0,0
33689,2563,2025-01-01 22:58:00,22,1147,1,España,Bangladesh,1,26.56,0,0
13411,7634,2025-01-01 22:59:00,22,994,1,España,España,1,207.9,0,0
18235,8437,2025-01-01 22:59:00,22,1089,1,España,India,1,61.1,0,0
14982,5899,2025-01-01 23:11:00,23,359,1,España,Ucrania,0,95.24,0,0
36913,7531,2025-01-01 23:40:00,23,428,1,España,Nigeria,0,11.46,0,0
46355,1535,2025-01-01 23:45:00,23,362,1,España,Bangladesh,0,77.94,0,0
8039,5101,2025-01-02 00:26:00,0,719,1,España,Francia,1,20.36,1,0
11088,12,2025-01-02 00:28:00,0,1186,1,España,España,0,15.66,0,0
39032,9987,2025-01-02 00:31:00,0,439,1,España,India,1,11.94,0,0
49091,3343,2025-01-02 00:55:00,0,1152,1,España,España,1,160.29,1,0
35985,3825,2025-01-02 01:11:00,1,1234,1,España,Brasil,0,18.52,0,0
8762,9458,2025-01-02 01:15:00,1,1412,1,España,Italia,0,33.33,0,0
21317,5993,2025-01-02 01:32:00,1,897,0,España,Nigeria,1,90.03,0,0
10969,9354,2025-01-02 01:37:00,1,1263,0,España,Rusia,1,34.26,0,0
8145,1669,2025-01-02 01:39:00,1,715,1,España,Reino Unido,0,158.97,0,0
840,239,2025-01-02 01:42:00,1,1373,1,España,Brasil,0,19.07,0,0
8787,5494,2025-01-02 02:17:00,2,916,1,España,Brasil,1,118.74,0,0
45374,2441,2025-01-02 02:25:00,2,629,1,España,Alemania,1,412.35,0,0
48417,452,2025-01-02 02:33:00,2,1183,1,España,España,1,65.3,0,0
1280,9036,2025-01-02 02:45:00,2,626,1,España,México,1,7.65,0,0
23516,416,2025-01-02 02:47:00,2,670,1,España,España,0,13.99,0,0
23117,6246,2025-01-02 02:47:00,2,316,0,España,España,1,23.18,0,0
32226,6121,2025-01-02 02:51:00,2,1226,1,España,Nigeria,0,4.95,0,0
10944,7247,2025-01-02 03:00:00,3,1372,1,España,Bangladesh,1,96.67,0,0
1806,978,2025-01-02 03:02:00,3,431,1,España,Alemania,1,82.25,1,0
35454,7087,2025-01-02 03:14:00,3,312,1,España,Reino Unido,0,98.73,0,0
37931,6392,2025-01-02 03:14:00,3,305,1,España,Nigeria,1,33.92,0,0
47631,3275,2025-01-02 03:30:00,3,1315,1,España,Nigeria,0,88.59,0,0
24913,5140,2025-01-02 03:38:00,3,1468,1,España,Vietnam,1,7.12,0,0
17022,1178,2025-01-02 03:49:00,3,192,1,España,Alemania,1,64.27,0,0
43087,5939,2025-01-02 03:56:00,3,260,1,España,Japón,0,4.99,0,0
26545,7687,2025-01-02 04:14:00,4,287,1,España,Japón,1,24.54,0,0
39535,905,2025-01-02 04:26:00,4,720,0,España,España,1,76.93,0,0
38542,733,2025-01-02 04:42:00,4,21,1,España,Japón,1,38.56,0,0
33613,8323,2025-01-02 04:57:00,4,502,0,España,India,1,31.55,0,0
30432,1583,2025-01-02 05:05:00,5,1298,1,España,Vietnam,0,48.57,0,0
27955,5581,2025-01-02 05:13:00,5,1297,0,España,India,1,201.5,0,0
42799,1182,2025-01-02 05:15:00,5,1481,1,España,Francia,1,121.38,0,0
1623,8066,2025-01-02 05:19:00,5,1012,1,España,India,0,42.65,0,0
20211,5560,2025-01-02 05:26:00,5,250,1,España,México,1,42.71,0,0
31965,8375,2025-01-02 05:27:00,5,1434,0,España,India,0,23.46,0,0
23540,4465,2025-01-02 05:43:00,5,518,1,España,Bangladesh,1,34.5,0,0
13533,893,2025-01-02 05:49:00,5,334,1,España,India,1,11.69,1,0
32345,4559,2025-01-02 06:25:00,6,1386,1,España,España,0,31.24,0,0
17590,1188,2025-01-02 06:32:00,6,1303,0,España,Rusia,0,81.27,0,0
29709,520,2025-01-02 06:33:00,6,191,1,España,Reino Unido,0,9.83,0,0
20248,569,2025-01-02 06:45:00,6,1008,0,España,Francia,1,119.67,0,0
6848,2751,2025-01-02 07:21:00,7,653,1,España,Portugal,1,10.51,0,0
7551,1778,2025-01-02 07:21:00,7,682,0,España,Francia,1,78.87,0,0
41311,9068,2025-01-02 07:43:00,7,639,1,España,Rusia,1,4.98,0,0
11344,5920,2025-01-02 07:46:00,7,213,1,España,México,1,151.66,0,0
43204,6432,2025-01-02 07:47:00,7,1486,1,España,India,0,33.18,0,0
1339,9724,2025-01-02 07:57:00,7,1478,1,España,Bangladesh,0,6.95,0,0
16867,6140,2025-01-02 07:59:00,7,121,1,España,Japón,0,112.67,0,0
15994,6481,2025-01-02 08:30:00,8,834,1,España,Reino Unido,1,87.34,0,0
7088,5826,2025-01-02 08:41:00,8,369,1,España,Brasil,1,33.44,0,0
27172,7916,2025-01-02 08:43:00,8,71,1,España,Nigeria,1,31.47,0,0
2739,4225,2025-01-02 08:49:00,8,716,1,España,Nigeria,1,161.74,1,1
42350,1929,2025-01-02 09:00:00,9,460,1,España,Vietnam,0,46.35,0,0
43233,3148,2025-01-02 09:06:00,9,521,0,España,India,1,3.1,0,0
18054,7440,2025-01-02 09:36:00,9,24,1,España,Brasil,1,69.02,0,0
17680,1581,2025-01-02 09:39:00,9,977,1,España,Vietnam,1,26.05,0,0
48733,6838,2025-01-02 09:43:00,9,884,1,España,India,1,28.7,0,0
20108,5329,2025-01-02 09:44:00,9,1438,1,España,Alemania,0,46.77,0,0
33266,6244,2025-01-02 09:59:00,9,761,1,España,Rusia,1,26.69,0,0
46317,3742,2025-01-02 10:08:00,10,525,1,España,Japón,1,17.8,0,0
2041,2249,2025-01-02 10:10:00,10,156,1,España,Bangladesh,1,38.44,0,0
24053,744,2025-01-02 10:16:00,10,782,1,España,Brasil,1,17.64,0,0
48934,4291,2025-01-02 10:35:00,10,212,1,España,Brasil,1,285.67,1,1
46181,2946,2025-01-02 10:38:00,10,1423,1,España,España,0,58.98,0,0
23421,5957,2025-01-02 11:18:00,11,500,0,España,Japón,0,66.46,0,0
41856,7907,2025-01-02 11:27:00,11,455,1,España,Portugal,1,151.28,0,0
24717,6871,2025-01-02 11:55:00,11,313,1,España,Bangladesh,1,110.37,0,0
8556,2465,2025-01-02 11:59:00,11,1367,1,España,Nigeria,1,27.43,0,0
21254,2987,2025-01-02 12:15:00,12,1136,1,España,Francia,0,796.36,0,0
6063,8615,2025-01-02 12:27:00,12,234,1,España,México,1,98.29,0,0
1721,9509,2025-01-02 12:38:00,12,833,0,España,España,1,21.75,0,0
28257,2292,2025-01-02 12:43:00,12,1205,1,España,India,0,25.09,0,0
5188,7088,2025-01-02 12:44:00,12,901,1,España,México,1,155.53,0,0
44622,3693,2025-01-02 13:01:00,13,1230,1,España,España,1,41.23,0,0
31326,8743,2025-01-02 13:37:00,13,1223,1,España,Brasil,0,82.59,0,0
5051,1205,2025-01-02 13:37:00,13,170,1,España,Nigeria,0,11.02,0,0
4332,6275,2025-01-02 13:41:00,13,286,1,España,Italia,1,50.01,0,0
4489,4839,2025-01-02 14:02:00,14,469,1,España,Ucrania,0,17.47,0,0
42048,308,2025-01-02 14:12:00,14,413,1,España,Brasil,1,261.47,0,0
4636,5918,2025-01-02 15:12:00,15,996,1,España,Rusia,0,47.3,0,0
29440,5081,2025-01-02 15:15:00,15,1348,1,España,India,1,44.59,0,0
17739,216,2025-01-02 15:29:00,15,496,1,España,Vietnam,1,13.4,0,0
6286,5698,2025-01-02 15:42:00,15,953,1,España,India,1,11.53,0,0
44169,7404,2025-01-02 15:47:00,15,1356,1,España,Italia,1,4.24,0,0
18652,1734,2025-01-02 15:55:00,15,528,0,España,India,1,27.05,0,0
2178,9777,2025-01-02 15:56:00,15,521,1,España,Bangladesh,1,7.59,0,0
43025,784,2025-01-02 16:05:00,16,1499,1,España,Ucrania,1,18.18,0,0
11901,5285,2025-01-02 16:13:00,16,1327,1,España,Vietnam,0,144.06,0,0
16195,2487,2025-01-02 16:19:00,16,1250,1,España,Reino Unido,0,191.57,0,0
33117,4496,2025-01-02 16:20:00,16,1381,1,España,Ucrania,1,62.32,0,0
13494,5367,2025-01-02 16:31:00,16,1431,1,España,México,0,9.57,0,0
26822,8349,2025-01-02 16:38:00,16,486,1,España,Portugal,0,24.68,0,0
17290,3620,2025-01-02 17:00:00,17,1079,1,España,Nigeria,1,96.91,0,0
7302,820,2025-01-02 17:02:00,17,112,1,España,Brasil,1,19.5,0,0
18425,1745,2025-01-02 17:13:00,17,1214,0,España,Vietnam,1,23.38,0,0
37179,3941,2025-01-02 17:19:00,17,1323,1,España,Bangladesh,1,9.33,0,0
41767,5842,2025-01-02 17:31:00,17,457,1,España,Nigeria,1,56.65,0,0
43962,8416,2025-01-02 18:01:00,18,247,1,España,Rusia,1,46.44,0,0
17634,1602,2025-01-02 18:06:00,18,81,1,España,Vietnam,1,19.51,0,0
38042,6276,2025-01-02 18:19:00,18,453,1,España,Rusia,0,18.16,0,0
36385,5289,2025-01-02 18:46:00,18,847,1,España,España,0,17.9,0,0
1771,3063,2025-01-02 18:53:00,18,690,1,España,Francia,0,44.03,0,0
22964,5141,2025-01-02 19:09:00,19,223,1,España,Portugal,1,25.53,0,0
31264,1696,2025-01-02 19:10:00,19,597,1,España,México,0,5.67,0,0
32656,6681,2025-01-02 19:14:00,19,1060,1,España,Rusia,0,25.04,0,0
22296,5036,2025-01-02 19:16:00,19,934,1,España,México,1,104.27,0,0
31632,5597,2025-01-02 19:18:00,19,618,1,España,Bangladesh,1,48.11,0,0
47216,4714,2025-01-02 19:27:00,19,609,1,España,India,0,17.0,0,0
19470,5018,2025-01-02 19:51:00,19,555,1,España,Rusia,1,60.58,0,0
40832,5895,2025-01-02 19:51:00,19,492,1,España,Japón,1,21.03,0,0
36805,8162,2025-01-02 19:54:00,19,903,1,España,Japón,1,13.98,1,0
9883,9225,2025-01-02 19:57:00,19,501,1,España,México,1,64.62,0,0
42623,9747,2025-01-02 19:59:00,19,126,1,España,Nigeria,1,22.25,1,0
5857,786,2025-01-02 20:02:00,20,1210,1,España,Vietnam,1,128.98,0,0
19013,5445,2025-01-02 20:33:00,20,604,1,España,India,1,6.56,1,1
36253,2283,2025-01-02 20:44:00,20,365,1,España,Reino Unido,1,184.97,0,0
224,3080,2025-01-02 20:53:00,20,922,1,España,Portugal,0,15.11,0,0
36445,946,2025-01-02 21:00:00,21,301,1,España,Reino Unido,1,26.65,0,0
2219,572,2025-01-02 21:19:00,21,389,1,España,India,1,33.57,0,0
40113,6329,2025-01-02 21:28:00,21,494,0,España,Reino Unido,0,11.72,0,0
44,555,2025-01-02 21:47:00,21,145,1,España,Alemania,1,13.18,0,0
45969,3884,2025-01-02 21:52:00,21,1223,1,España,Francia,1,118.8,0,0
6270,7501,2025-01-02 22:03:00,22,463,0,España,Japón,1,20.56,0,0
11776,1010,2025-01-02 22:05:00,22,1050,1,España,Brasil,1,41.07,0,0
43583,2270,2025-01-02 22:10:00,22,836,1,España,Vietnam,1,32.55,0,0
6710,2486,2025-01-02 22:15:00,22,383,1,España,Italia,1,34.07,1,0
29749,4924,2025-01-02 22:21:00,22,1224,1,España,Japón,1,44.85,0,0
8727,9144,2025-01-02 22:35:00,22,926,1,España,Alemania,1,38.03,0,0
42491,8266,2025-01-02 22:52:00,22,382,1,España,Portugal,1,11.95,0,0
23068,7426,2025-01-02 23:01:00,23,1412,1,España,Bangladesh,0,129.6,0,0
30481,9692,2025-01-02 23:33:00,23,584,1,España,México,0,32.15,0,0
7227,1114,2025-01-02 23:46:00,23,1466,1,España,Ucrania,1,15.62,0,0
410,2025,2025-01-02 23:49:00,23,1211,1,España,Francia,0,12.24,0,0
15465,6500,2025-01-03 00:01:00,0,553,1,España,Ucrania,0,127.45,0,0
49077,9599,2025-01-03 00:03:00,0,405,1,España,Vietnam,1,28.02,0,0
17423,7646,2025-01-03 00:41:00,0,117,0,España,Brasil,1,13.8,0,0
21549,8197,2025-01-03 00:48:00,0,631,1,España,Vietnam,1,138.27,0,0
44705,5850,2025-01-03 00:49:00,0,1394,1,España,Italia,1,53.77,0,0
45390,7808,2025-01-03 00:51:00,0,397,1,España,Ucrania,1,38.92,0,0
46882,1820,2025-01-03 01:08:00,1,622,1,España,Portugal,1,31.01,0,0
41502,8696,2025-01-03 01:08:00,1,1424,1,España,Alemania,1,28.06,0,0
23119,1338,2025-01-03 01:13:00,1,42,0,España,Nigeria,1,12.22,0,0
28142,1320,2025-01-03 01:26:00,1,154,1,España,Reino Unido,1,31.41,0,0
45195,2735,2025-01-03 01:38:00,1,603,0,España,India,1,29.59,0,0
27279,34,2025-01-03 01:48:00,1,397,1,España,Rusia,0,131.94,0,0
35602,4872,2025-01-03 01:51:00,1,1242,1,España,Francia,1,17.5,0,0
17873,2825,2025-01-03 01:54:00,1,611,0,España,Nigeria,1,6.81,0,0
30613,7953,2025-01-03 01:58:00,1,1294,1,España,Alemania,0,45.81,0,0
45484,5636,2025-01-03 02:05:00,2,871,1,España,Alemania,0,17.68,0,0
32589,3518,2025-01-03 02:05:00,2,1027,1,España,Italia,1,26.32,0,0
7757,3052,2025-01-03 02:09:00,2,341,1,España,Alemania,1,26.86,1,0
575,6658,2025-01-03 02:51:00,2,1211,1,España,Francia,1,37.22,0,0
22936,343,2025-01-03 02:51:00,2,1046,1,España,Francia,1,53.3,0,0
10675,8013,2025-01-03 02:52:00,2,802,1,España,Vietnam,1,22.03,0,0
19957,7762,2025-01-03 02:52:00,2,502,0,España,Reino Unido,0,12.61,0,0
36275,1715,2025-01-03 02:55:00,2,1001,1,España,Ucrania,0,22.95,0,0
16815,5067,2025-01-03 03:00:00,3,1171,1,España,Vietnam,1,73.36,0,0
37605,2652,2025-01-03 03:02:00,3,1217,0,España,España,1,644.98,0,0
44595,9346,2025-01-03 03:28:00,3,1333,1,España,Japón,1,84.43,0,0
9522,3463,2025-01-03 03:29:00,3,1160,1,España,Francia,0,12.22,0,0
18324,2728,2025-01-03 03:38:00,3,298,1,España,Rusia,1,16.77,1,0
44726,3898,2025-01-03 03:51:00,3,1437,0,España,Brasil,1,97.75,1,0
9258,6898,2025-01-03 03:54:00,3,1005,1,España,Portugal,1,191.65,0,0
7669,6362,2025-01-03 04:01:00,4,740,1,España,India,1,22.82,0,0
40106,9177,2025-01-03 04:15:00,4,1208,1,España,India,1,108.9,0,0
20468,7578,2025-01-03 04:25:00,4,960,1,España,Reino Unido,1,30.47,0,0
28943,2332,2025-01-03 04:39:00,4,502,0,España,Japón,1,18.14,1,0
9267,8080,2025-01-03 04:54:00,4,730,1,España,Vietnam,1,9.61,0,0
7713,9865,2025-01-03 04:58:00,4,1263,1,España,Francia,1,72.64,0,0
3370,260,2025-01-03 05:11:00,5,1205,0,España,Alemania,1,81.08,0,0
18342,7328,2025-01-03 05:12:00,5,400,0,España,Vietnam,1,23.47,0,0
12827,9703,2025-01-03 05:16:00,5,1156,1,España,Rusia,1,57.12,0,0
18699,2365,2025-01-03 05:32:00,5,1226,1,España,Ucrania,0,141.79,0,0
41942,3322,2025-01-03 05:54:00,5,629,0,España,Brasil,1,131.45,0,0
25246,7511,2025-01-03 05:59:00,5,705,1,España,Japón,1,10.86,0,0
39603,2699,2025-01-03 06:06:00,6,1112,1,España,Japón,1,69.33,0,0
49059,1506,2025-01-03 06:07:00,6,78,1,España,Brasil,1,31.79,0,0
29921,747,2025-01-03 06:15:00,6,514,1,España,India,1,38.17,0,0
44764,5248,2025-01-03 06:24:00,6,274,1,España,Portugal,0,63.09,0,0
735,4510,2025-01-03 06:27:00,6,1266,1,España,Italia,1,102.09,0,0
18694,4009,2025-01-03 06:33:00,6,177,1,España,Ucrania,0,12.81,0,0
11812,9124,2025-01-03 06:45:00,6,96,1,España,Rusia,0,25.78,0,0
